order_no,Product,Quantity
1,Tux,5
2,Whale,3
3,Bird,4
4,Whale,2
5,Elephant,1
6,Bird,2
7,Tux,4
8,Bird,5
9,Elephant,3
10,Whale,1
11,Whale,3
12,Whale,2
13,Whale,1
14,Bird,1
15,Bird,1
16,Whale,5
17,Elephant,3
18,Elephant,3
19,Tux,2
20,Elephant,4
21,Whale,1
22,Bird,2
23,Bird,2
24,Tux,5
25,Bird,1
26,Bird,3
27,Whale,4
28,Elephant,2
29,Elephant,2
30,Bird,3
31,Tux,1
32,Tux,2
33,Elephant,3
34,Whale,4
35,Elephant,1
36,Whale,4
37,Bird,1
38,Bird,2
39,Elephant,4
40,Elephant,5
41,Whale,4
42,Bird,2
43,Whale,2
44,Elephant,5
45,Elephant,2
46,Tux,1
47,Whale,3
48,Tux,4
49,Bird,2
50,Whale,5
51,Tux,1
52,Elephant,1
53,Elephant,3
54,Elephant,2
55,Bird,3
56,Elephant,2
57,Tux,1
58,Whale,5
59,Bird,2
60,Bird,5
61,Elephant,4
62,Bird,2
63,Bird,2
64,Whale,3
65,Bird,3
66,Tux,3
67,Elephant,5
68,Whale,4
69,Bird,3
70,Elephant,2
71,Elephant,4
72,Tux,4
73,Whale,5
74,Elephant,4
75,Bird,3
76,Elephant,5
77,Bird,1
78,Tux,3
79,Whale,1
80,Tux,4
81,Tux,4
82,Bird,4
83,Tux,2
84,Elephant,4
85,Bird,5
86,Tux,1
87,Elephant,4
88,Whale,3
89,Elephant,3
90,Bird,4
91,Whale,1
92,Tux,2
93,Elephant,5
94,Whale,3
95,Whale,1
96,Elephant,3
97,Bird,5
98,Elephant,2
99,Elephant,5
100,Whale,2
101,Tux,4
102,Tux,5
103,Elephant,3
104,Whale,5
105,Tux,3
106,Tux,5
107,Tux,4
108,Whale,4
109,Tux,2
110,Whale,4
111,Whale,1
112,Elephant,2
113,Bird,2
114,Elephant,4
115,Elephant,2
116,Bird,4
117,Elephant,3
118,Elephant,1
119,Tux,3
120,Tux,5
121,Elephant,3
122,Whale,1
123,Bird,2
124,Tux,1
125,Whale,4
126,Elephant,5
127,Elephant,5
128,Whale,5
129,Bird,1
130,Bird,5
131,Tux,2
132,Bird,1
133,Tux,1
134,Whale,1
135,Bird,4
136,Bird,3
137,Bird,4
138,Tux,1
139,Bird,5
140,Bird,4
141,Tux,2
142,Bird,1
143,Tux,3
144,Bird,1
145,Bird,3
146,Whale,3
147,Whale,1
148,Tux,4
149,Tux,4
150,Tux,5
151,Bird,3
152,Whale,1
153,Bird,4
154,Whale,2
155,Whale,4
156,Tux,5
157,Whale,2
158,Tux,5
159,Bird,2
160,Whale,5
161,Bird,1
162,Whale,4
163,Tux,4
164,Tux,1
165,Whale,4
166,Bird,4
167,Tux,2
168,Bird,5
169,Elephant,1
170,Bird,4
171,Bird,3
172,Whale,3
173,Bird,3
174,Bird,1
175,Bird,5
176,Tux,4
177,Whale,1
178,Bird,2
179,Elephant,2
180,Elephant,2
181,Elephant,2
182,Tux,4
183,Tux,1
184,Tux,3
185,Whale,4
186,Whale,1
187,Whale,1
188,Elephant,2
189,Whale,4
190,Tux,4
191,Tux,2
192,Bird,3
193,Whale,4
194,Elephant,3
195,Elephant,5
196,Bird,3
197,Bird,2
198,Bird,3
199,Elephant,4
200,Tux,1
201,Elephant,4
202,Elephant,3
203,Whale,5
204,Whale,1
205,Elephant,1
206,Whale,4
207,Elephant,4
208,Tux,3
209,Tux,4
210,Elephant,4
211,Bird,1
212,Elephant,3
213,Elephant,4
214,Elephant,5
215,Whale,5
216,Elephant,3
217,Elephant,4
218,Whale,2
219,Whale,4
220,Tux,1
221,Elephant,3
222,Whale,5
223,Whale,3
224,Whale,4
225,Tux,2
226,Tux,2
227,Whale,3
228,Whale,5
229,Elephant,5
230,Whale,2
231,Whale,4
232,Whale,1
233,Whale,2
234,Elephant,5
235,Whale,1
236,Bird,4
237,Bird,5
238,Elephant,3
239,Bird,4
240,Tux,3
241,Bird,3
242,Tux,2
243,Bird,1
244,Whale,4
245,Bird,5
246,Elephant,1
247,Whale,1
248,Tux,4
249,Elephant,2
250,Elephant,2
251,Tux,5
252,Tux,5
253,Elephant,2
254,Tux,3
255,Elephant,4
256,Bird,1
257,Bird,4
258,Bird,5
259,Bird,2
260,Whale,2
261,Elephant,5
262,Elephant,5
263,Whale,1
264,Elephant,4
265,Elephant,4
266,Elephant,4
267,Tux,2
268,Whale,4
269,Tux,4
270,Bird,3
271,Whale,3
272,Tux,3
273,Whale,4
274,Whale,4
275,Bird,5
276,Elephant,3
277,Elephant,4
278,Tux,1
279,Bird,4
280,Tux,3
281,Whale,1
282,Whale,5
283,Tux,3
284,Bird,5
285,Tux,2
286,Tux,5
287,Whale,3
288,Tux,3
289,Tux,4
290,Tux,3
291,Tux,4
292,Whale,2
293,Tux,5
294,Tux,5
